review_clean_final,cluster_baseline,cluster_pso_kmeans,label_otomatis,label_topik
aplikasinya keren bagus dan sangat membantu pelanggan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tidak bisa diupdate dan diinstal ulang tetap tidak bisa bug,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
bagaimana ini kah kenapa saya belum terima melalui email skkpd padahal saya sudah melakukan pembayaran pajak dari tanggal januari saya juga sudah mengunjungi kantor samsat tapi solusi yang di berikan oleh pegawai samsat katanya itu saja struk pembayaran yang disuruh pegang jadi bagaimanami itu kemudian di aplikasi bapenda sulsel mobile ini apakah hanya satu kali saja kalo mau melakukan pengaduan,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi ini membantu saya dlm cek pajak kendaraan saya,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat membantu dalam mengetahui tentang pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
coba bgt cek bayar aajakmuncul nama pemilik bgs,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi sdh bagus tpi pas bayar pajak beda yg tertera diaplikasi wkwkwmwm,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
perbaiki pelayanan di samsat pinrang,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat membantu untuk mengetahui jumlah pajak yg harus dibayar,0,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
maaf mau tanya apa jika sudah bayar misalkan di indomaret brimo dimana di ambil bukti stempel samsat dan apa harus bayar jika minta pengesahan dikantor dan apa semua kantor samsat bisa beri pengesahan terima kasih,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat bermanfaat untuk mengetahui seberapa banyak duit kita di tilep si baju coklat yang ada di samsatakhirnya malas bayar pajak,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tidak sesuai di aplikasi xxx pas ke samsat xxx jika ada oknum yang meminta lebih silahkan di laporkan mana kita tau nama pegawainya anda cek sendiri lah kelapangan survei setiap orang yang baru keluar dari kantor samsat apakah sesuai dengan di aplikasi dengan di loket,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
mempermudah mengetahui bayaran pajak kendaraan kita,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat membantu dalam memberi informasi yg akurat memberikan info biaya yg harus di siapkan maka hal ini sangat membantu kami,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kira kira aman gak nih kalau bayar pajak lewat aplikasi ini terus untuk pengesahan fisiknya bagaimana,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasinya baik cuman ngk bisa bayar pajak pakai akun danatolong kak di tambahin opsi pembayarannya lewat aplikasi akun dana sekarang banyak orang pakai akun dana,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
seharusnya stnk baru bisa di kirim lewat pos,1,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasinya bagus bs cek lebih awal pajak kendaraan yang akan dibayar,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
bagaimana dengan stempel di stnk sebagai bukti telah membayar pajak via aplikasi,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
bagus cek pajak motor langsung respon makasih pak,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
apa bisa bayar pajak lewat aplikasi ini tanpa ke samsat dan bagaimana carax terus jika jumlah d aplikasi beda disamsat bagaimana penjelasannya,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
di apk bapenda pelunasan bayar pajak tertera ribu skian nyata nya datang kesamsat habis nya ribu skian kurang paham saya knp selisih jauh skli gak bisa buat acuan klo begini harusnya bintangnya minus ini,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
ingin bayar pajak lewat aplikasi tp tertulis kendaraan sedang dalam proses penraftaran disamsat padahal sebelumnya belum pernh daftar,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
jumlah pembayaran realita x lebih tinggi dari pada jumlah pembayaran di aplikasi jadi gunanya ini aplikasi apa harusnya si bisa langsung bayar di aplikasi aja biar lebih memudahkan,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
kenapa sekarang nga bisa cek pajak,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tdk sesuai di app pas bayar,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
masih kurangpilihan bank pembayaran gk komplit,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
kenapa tidak bisa cek pajak mobil,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi buruk ga bisa di gunakan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi sangat membantu cuma saran tena nacini blokir na tidk muncul keterangan blokirnya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
fiturnya belum lengkap seperti kita tidak bisa mengecek datadata yang sudah kita simpan gunanya menu profil cuma buat menambahkan data ktp tidak ada yang lain kedepanya tambahkan fitur login dulu terus sistem keamanan data pribadi di tingkatkan hanya kita yang bisa melihat,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mantap sangat membantu memberikan informasi,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
apakah belum disediakan untuk untuk wilayah sulselbar,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
halo kakcara hapus data kita di aplikasi gimana yah soalnya datanya terpampang jelasdepan layar takutnya kalo hp kita jatoh terus di maling orang lahh apess dong data kita bintang dlumohon koreksinya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
untuk apa punya layanan pengaduan klau ga bisa terkirim terus,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
ada bug di fitur maps tidak ada terdata lokasi samsat disekitar makassar,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi ini sangat membantu sekali dalam mengecek dan membayar pajak kendaraan sehingga bisa terhindar dari pungli,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
proses pembayaran sukses tapi sdh x jam saya belum menerima bukti pembayarannya melalui email,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
bayar pajak kendaraan online via bapenda apakah kita harus ke kantor pajak lagi untuk administrasi,2,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
harusnya bukti bayar pajaknya dikirim bentuk file pdf agar lebih jelas gambarnya dan tidak buram,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tidak sesuai di apk sama kantor samsat kabupaten kepulauan selayar sulawesi selatan,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tidak sesuai sama yang di bayarkn di samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat rekomendasi agar tidak kena pungli karena beda sekali harganya disni jauh murahnya di banding langsung di samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi bagus sangat simpel memudahkan mengetahui nilai pajak yang harus disiapkan sebelum ke samsat juga memudahkan saat proses jual beli kendaraan hanya saja jangkauan masi dalam lingkup sulsel tolong diperluas lagi kalau bisa,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
mantab aplikasinya terus di kembangkan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tidak bisa buka aplikasi bapenda ini,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
cukup membantu terima kasih bapenda sulsel,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
admin kan saya mau bayar pajak thunanganti kaleng apakah harga tertera di apk ini udah termasuk ganti kalengnya atau cuman harga pajak thnan,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
apakah aman jika membayar pajak kendaraan disini dan apa bukti yang bisa diperlihatkan jika kita dimintai selesai pajak,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
pembayaran pajak tahunan di samsat selalu tidak sama dengan di bapenda selalu ada pungli,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
beda diaplikasi beda disamsat masih banyak pungli,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
bukannya kendaraan lama makin turun harganya tiap tahun eh pajaknya tiap tahun naik terus,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi tidak berguna hanya formalitas semata pas mau bayar malah di suruh ke samsat terdekat,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat membantu untuk pengecekan pajak,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat membantu saya mau bayar pajak kendaraan sekaligus mau balik nama apakah akan tetap diproses nantinya kalau lewat online terimah kasih sebelumnya,2,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
baru saja install dan berhasil bayar pajak kendaraan saran saya krn aplikasi ini berisi data sensitif sebaiknya kalau mau masuk aplikasi harus memasukkan user name dan passwordfingger,2,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
mantap dan luar biasa sangat membatu dalam pengecekan nilai pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
apakh bisa bayar pajak kendaraan melalui aplikasi ini,2,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
adanya aplikasi ini saya gampang mengecet pajak kendaraan saya terimakasih,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
mohon bantuannya saya mau cek pajak motor nopol dan nomer rangka sudah sesuai tapi keterangan nopol tidak ditemukan kasi bintang dulu ya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
bukti pembayaran pajaknya dimana apakah lewat email atau ke apk nya langsung,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
terimakasih karena kami sudah tau berapa jumlah yang harus di bayar,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
pembayaran pajak lebih mudah dan cepat tdk sampai mnt,0,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasinya sangat membantu cek dan bayar pajak sudah tidak perlu lagi ke samsat antri,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
cara cek pajak nya pilih mana pkb apa bbn,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi tdk jelas sy sekarang di kantor samsat kota makassar sy bayar pajak tahun sekalian ganti plat dd di aplikasi cuma tapi di kantor samsat sy bayar lebih jadi sy nyatakan ini aplikasi sangat tdk sesuai dan tdk cocok,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
apa benar pak ada pemutihan pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
katanya pemutihan pajak beelaku januari sampai april untuk wilayah sulsel tpi pas saya cek kok masi tetap ada dendanya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
dengan ada nya aplikasi ini memudah kan kita untuk cek jumlah tagihan pajak kendaraan bermotor,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat membantu cek status pajak kendaraan,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
saya akui proses cepat pembayarannya hanya saja sama saja bayar langsung kita disuruh menunggu lama pengesahannya tidak adaji istimewanya malah lebih cepat pulang orang yang bayar offline langsung mungkin krn nda ada lebihnya,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
bagus memudahkan terutama penggunaan kendaraan diluar provinsi,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sebelum update masih aman ji ini aplikasi tp kenapa sekarang malah eror tdk bisami cek pajak,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
maaf pak setelah saya bayar pajak lewat indomart knpa saya cek di aplikasinya statusnya masih belum lunas apakah ada batas hari pengerjaannya atau bagaimana,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
ntah fetch data nya nge bug atau bijimana tapi tiap input selalu disuruh ke samsat,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
ijin tanya admin jika terlambar tahun apakah muncul di aplikasi total keseluruan yg harus di bayar,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
bintang mo dulu mauja bertanya min kalau sudah bayar harus ki kesamsat lagi kah buat minta stempel ke samsat nya,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
cek biaya bbn daplikasi sekian knpa wktu kesamsat biayany melambung tinggi tdk sesuai daplikasi pelayanan dsamsat dpingpong,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat membantu masyarakat untuk mendapatkan info pembayaran pajak kendaraan bermotor,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
barusan dipake bagus tawwa sangat membantu bukan aplikasi abalabal,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kami sangat senang memiliki aplikasi bapenda sulsel mobile,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
lembar pajak digitalnya pun tidak ada yg masuk ke email mana,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa ya sudah beberapa bulan lamanya ini mau download aplikasinya bapenda mobiletapi tetap tidak bisa katanya di suruh update ke aplikasi terbarupadahal tidak bisa update versi terbaru nya terpaksa saya hapus aplikasi inimohon kiranya aplikasi nya di perbaiki terimakasih,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
izin bertanya min kalau balik nama harus di samsat wilayah sesuai dengan alamat stnk pemilik pertama atau bisa ji di samsat mana saja,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
susah cek pajak kendaraanalasan data tidak di temukan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
joss aplikasi simple dan mudah di gunakan sangat membantu pertahankan ya min,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
percuma pakai aplikasi kalau msh ada oknum pungli yg bs merusak citra instansi aplikasi krn msh ada pungliiiii di dlm nya krn tetap dimintakan uang ribu untuk bs ambil plat motormobil yg sdh jadi padahal sdh bayar smua sesuai yg tertera di aplikasi trmasuk bea admin tnkb yg ad di aplikasi trus di suruh bayar jg kertas landasan buat gosok no rangka senilai ribu di perjualbelikan di koperasiparaahhhh,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
cek pajak sebelum di update bisa ji tp pas cek sesudah di update katanya nopol tdk terdaftar knpa bisa ya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat membantu apakah ada tanda bukti yg bs dilampirkan setelah bayar pakai aplikasi ini trm ksh,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
iki kalau sudah di bayar pajak nya stnk nya bagaimana di ambil di samsat atau bagaimana,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
maaf kami sudah berhasil melakukan pembayaran melalui indomaret tapi kami belum dapat pemberitahuan selanjutnya apakah kami perlu ke samsat lagi,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
min error trs mauka byr pajak,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
jelek banget ini aplikasi pemerintah mau cek pajak buat dibayar kenapa error terus sdh hari,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi error muluuu gak baguss ni aplikasinya hadee,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat mendukung melihat pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aku kasi bintang krn saya membatu dan juga ini akurat selsuai,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat puas dan sangat membantu,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tidak bisa input data nopol dan digit nomor rangka terakhir di xiaomi t,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
saya suka aplikasi ini tpi yg ingin saya tanyakan kenapa pada saat memabyar pajak di samsat nominalnya tdk sama dgn diaplikasi dikasih tau samsat bahwa diaplikasi segini tpi nabilang petugas ada biaya materainya jadi tolonglah jangan ada pungli lgi,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi tidak berguna informasi jumlah pembayaran di aplikasi sangat berbeda jauh di lapangan di aplikasi rp nyatanya bayar rp,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplilasi ini sangat membantu mengecek pajak kendaraan yg harus dibayar,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
cepat tepat akurat info nya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa na susah sekali di download apk nya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasinya tdk sesuai dgn yg samsatsaya cek di aplikasi tapi disamsat naminta jauh sekali perbedaannya tolong ini yg mana yg benar,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
kenapa error terus ya padahal jaringan bagus,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tolong ditambahkan metode pembayaran melalui bank lainnya jgn cuman bank mandiri dan bank sulselbar kalau bisa,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi kasih ini sangat bagus yg ingin lihat berapa harus di bayar pajaknya jadi bisa membawah uang pas tapi sy mau aplikasi ini bisa cek juga pajak motor yg terblokir seperti tilang cctv atau selainnya mungkin itu dari sy makasih,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
setelah cek plat nomor nya kok muncul tulisan mohon maaf gagal terhubung mohon coba beberapa saat lagi tolong di perbaiki kak,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sy suka sekali aplikasinyacukup membantutpi sy tdk jd bayar pjknya dsinikrn metode pembayarannyasdikit sarantolong di tambah lg pilihan metode pembayarannyasperti lewat brivabrimo dn dompet digital sperti dana atau link ajatrim kasih,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tidak bisa menyimpan data kendaraan sendiri tidak banyak pilihan pembayarannya cuman indomart dan bank sulsel,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
nahh ini baru ui nya keren,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
pilihan pbayaran via gopay dan tokped kok hilang sedangkan pake linkaja menu untuk prov sulsel d apl link aja gak ada,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
bayar pajak via online malah gagal terus aneh,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
kenapa setiap ada kendaraan yang mau sy cek pajaknya tidak bisa alasannya selalu nopol yang di masukkan tidak di temukan padahal sudah sesuai dengan nopol yang saya mau cek,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi error apa coba tujuannya bikin aplikasi begini,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa tidak bisa dibayar di indomaret padahal di aplikasinya ada pilihan pembayaran nya tapi pas mau dibayar di indomaret malah disuruh ke samsat lagi,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
saya tidak bisa tambah data dengan alasan data nik di skkpstnk dengan data profil tidak sesuai cat kendaraan atas nama sy sendiri,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mau bayar via livin malah kode pembayaran tidak ditemukan,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
emang lagi nggk bisa bayar pake gopay apa gimana atau emang ada wakru tertentunya udh coba berkali kali tetep nggk bisa juga,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
baru download tidak dapat bikin akun,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
untuk cek pajak bagus tapi kenapa untuk bayar pajak lewat aplikasi ini tidak bisa setiap mengisi data kendaraan gagal padahal surat surat lengkap mohon di perbaiki lagi saya ingin bayar pajak,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tabe dibantu di menu cek pajak bisa muncul tagihan dan identitas kendaraan tapi masuk di menu bayar pajak menjadi tidak bisa keterangannya data tidak ditemukan padahal betulmi semua data yang diinput,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
saya install apk ini cuma mau ngasih info kalo d samsat itu masih ada pungli padahal ada banner besar dilarang melakukan pungli kejadian kemarin mau bayar stnk bapak yg kebetulan memang motor nd dan belum dbalik nama petugas tersebut menyebutkan nominal yg tidak sesuai di bot telegram yg sebelumnya saya cek sebelum brgkt k samsat saya mau liat apakh nnt d markup dan ternyata benar menyedihkan sekali oknum seperti ini ngasih makan keluarganya uang haram hasil pungli,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
apa bayar pajak di sini aman dan langsung ter registrasi di samsat dan klw bisa jika pembayaran telah di lakukan bisa di lampirkan bukti pembayaran yang bisa di perlihatkan apa bila sewaktu waktu di perlukan,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasinya bgus sangat memudhkn untuk cek pmbyaran pajak tpi smpai di samsat nga sesuai di aplkasi malah disruh nambah,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tolong lebih ditingkatkan aplikasinya diadakan fitur sign up dan login website ferryzy saja bisa login bayar tiket ferry sangat mudah masa saya cek pajak tdk ada keterangan nama pemiliknya begitu mau tambah data malah error katanya data kendaraan sudah diklaim oleh pemiliknya yakin data kendaraan adalah milik anda lah stnk bpkb wong sama saya fitur pengaduan juga gak bisa dipake enaknya tuh klo online dapet barcode datang ke kantor langsung print,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa aplikasi ini tidak bisa di download,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
samsat masih memberlakukan sistem pungli masyarakat malas pajak krn di samping besarn pajak memberatkan juga masih terjadi praktek pungli hampir di beberapa kantor samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi tdk ribetproses cepat dan terperinci,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
untuk sekedar pengecekan pajak sangat membantu semoga hasilx sesuai tapi saya kurang sreg di halaman tambah data karena yg menambah adalah user sehingga rasanya rada rawan sebaikx data user bisa tersedia di aplikasi ini untuk datanya bisa dikoneksikan instansi terkait,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
lebih bagus bayar online kalau bisa,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aku masukkan nopol kendaraan cuman masalah gk ad mama yg terteramawarna udh cocok abutp masa cc masih enak dulucekd bot telegram,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat bagus dan sangat membantu untuk saya yang tinggal di luar kota,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat membatu dengan adanya aplikasih ini,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mau bayar pajak sudah isi semua data dibilang nopol salah pas cek pajak aman ji nd lama dibilang lagi tidak terhubung di internet na lancar ja main mobile legend,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sebelum updates bagus dan terbantu kok sudah di updates pas mau cek malah tertulis error,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
alhamdulillah selain cari berita yg lain eror semua,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
gampang di gunakan dan mempermudah urusan pajak kendaraan kita,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
bagus sangat membantu tapi tolong update selanjutnya disertakan nama pemilikalamat dan no rangka mesin,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
